Brand,Model,Variant,Year of Manufacture,Driven Kilometers,Fuel type,Transmission Type,Number of Owners,Location,Price in Lakhs
Hyundai,Accent,GLX,2008,"71,000",PETROL,--,2nd,Tamil," 1,30,000"
Maruti,Suzuki,2005-2010 LX BSIII,2006,"103,000",PETROL,MANUAL,3rd,Kerala," 1,05,000"
Mahindra,Bolero,SLE,2014,100000.0,DIESEL,MANUAL,1st,Karnataka," 4,90,000"
Mercedes-Benz,GLS,400d 4MATIC,Jun 2020,"19,000",Diesel,Automatic,First,Noida,1.19
Maruti,Suzuki,1999-2007 Vxi,2005,71000.0,PETROL,MANUAL,2nd,Karnataka," 1,85,000"
Renault,Duster,110PS Diesel RxL AMT,2016,60500.0,DIESEL,AUTOMATIC,1st,Karnataka," 8,15,000"
Maruti,Suzuki,LXI,2016,49336.0,PETROL,MANUAL,2nd,Kerala," 2,70,000"
Honda,City,GXi,2008,99025.0,PETROL,MANUAL,2nd,Karnataka," 2,50,000"
Hyundai,Grand,Magna 1.1 CRDi,2013,95000.0,DIESEL,MANUAL,1st,Rajasthan," 3,50,000"
Ford,Ecosport,1.5 Petrol Trend,2015,98000.0,PETROL,MANUAL,1st,Maharashtra," 4,15,000"
Maruti,Suzuki,LXI,2009,94000.0,PETROL,MANUAL,1st,Karnataka," 2,60,000"
Ford,Figo,1.5D Titanium MT,2010,85000.0,DIESEL,MANUAL,3rd,Tamil," 1,85,000"
Maruti,Suzuki,AC BSII,1997,130,PETROL,MANUAL,4th,Rajasthan," 51,000"
Maruti,Suzuki,1999-2006 VXI BSIII,2004,"188,000",LPG,MANUAL,2nd,Tamil," 1,60,000"
Hyundai,Elite i20,Magna Executive 1.2,Oct 2017,"28,017",Petrol,Manual,First,Noida,5.6
Toyota,Innova,2.5 VX 7-STR,2013,93000.0,DIESEL,MANUAL,2nd,Kerala," 10,65,000"
Volkswagen,Vento,2010-2013 New Diesel Highline,2013,184189,DIESEL,MANUAL,Second,Tamil," 3,90,000"
Land,Rover,Evoque Pure SD4,2015,"43,240",DIESEL,AUTOMATIC,2nd,Tamil," 29,75,000"
Hyundai,Grand,1.2 CRDi Magna,2016,57000.0,DIESEL,MANUAL,1st,Delhi," 3,37,912"
Mercedes-Benz,GLE,300d 4MATIC LWB,Jun 2020,"4,500",Diesel,Automatic,First,Noida,89
Maruti,Suzuki,2014-2017 ZXI,2014,53253.0,PETROL,MANUAL,1st,Delhi," 3,45,000"
Maruti,Suzuki,2006-2010 LXI Minor,2009,97000.0,PETROL,MANUAL,1st,Rajasthan," 1,65,000"
Maruti,Suzuki,CNG LXI,2017,58264.0,CNG & HYBRIDS,MANUAL,1st,Delhi," 2,95,000"
Mercedes-Benz,C-Class,Progressive C 220d,2020,24000.0,DIESEL,AUTOMATIC,1st,Maharashtra," 45,98,000"
Maruti,Suzuki,LXI CNG,2017,90000,CNG,MANUAL,First,Rajasthan," 3,25,000"
Mercedes-Benz,Cla,200 CDI Sport,2017,47000.0,DIESEL,AUTOMATIC,1st,Kerala," 29,49,999"
Chevrolet,Cruze,2012 LTZ AT,2012,71000.0,DIESEL,AUTOMATIC,--,Delhi," 2,95,000"
Ford,Ecosport,1.5 TDCi Titanium Plus,2013,75000.0,DIESEL,MANUAL,2nd,Maharashtra," 4,00,000"
Ford,Ecosport,1.5 Diesel Titanium Plus,2015,63000.0,DIESEL,MANUAL,1st,Delhi," 4,75,000"
Hyundai,I10,1.2 Kappa Magna,2013,50000,PETROL,MANUAL,Second,Kerala," 3,20,000"
Skoda,Rapid,2011-2013 1.6 TDI Ambition,2012,"170,000",DIESEL,MANUAL,2nd,Rajasthan," 3,10,000"
Toyota,Fortuner,2011-2016 4x2 Manual,2012,138000.0,DIESEL,MANUAL,2nd,Maharashtra," 14,25,000"
Maruti,Suzuki,VDI,2011,118000.0,DIESEL,MANUAL,1st,Tamil," 3,99,000"
Honda,City,,2011,56000.0,PETROL,--,--,Delhi," 3,25,000"
Toyota,Innova,2.5 V 7 STR,2008,150000.0,DIESEL,MANUAL,1st,Maharashtra," 4,75,000"
Ford,Ikon,Others,2003,"70,000",PETROL,MANUAL,2nd,Tamil," 99,000"
Hyundai,I10,1.2 Kappa SPORTZ,2010,90000,PETROL,MANUAL,Second,Delhi," 1,70,000"
Hyundai,Grand,1.2 Kappa Sportz,2015,55196.0,PETROL,MANUAL,1st,Maharashtra," 3,79,000"
Maruti,Suzuki,LXi,2010,95035.0,--,--,2nd,Kerala," 1,55,000"
Mahindra,Bolero,Camper,2009,"23,000",DIESEL,MANUAL,2nd,Rajasthan," 4,11,000"
Mahindra,Scorpio,S11,2020,39000.0,DIESEL,MANUAL,1st,Rajasthan," 18,75,000"
Ford,Ecosport,1.5 Petrol Titanium,2015,69700.0,CNG & HYBRIDS,AUTOMATIC,--,Delhi," 5,25,000"
Mercedes-Benz,Cla,200 CDI Sport,2017,70000.0,DIESEL,AUTOMATIC,1st,Kerala," 24,90,000"
Hyundai,I10,Magna,2011,71000.0,PETROL,MANUAL,2nd,Delhi," 1,65,000"
Ford,Figo,2010-2012 Petrol ZXI,2011,85000.0,PETROL,MANUAL,3rd,Maharashtra," 1,75,000"
Tata,Nexon,1.5 Revotorq XZ Plus,2018,98200.0,DIESEL,MANUAL,1st,Tamil," 8,25,000"
Volkswagen,Polo,,2016,"87,000",DIESEL,MANUAL,2nd,Karnataka," 6,80,000"
Jaguar,F-Pace,Prestige 2.0 AWD,2018,47000.0,DIESEL,AUTOMATIC,1st,Delhi," 45,75,000"
Hyundai,I20,,2014,49801.0,PETROL,MANUAL,--,Delhi," 3,49,000"
Maruti,Suzuki,VXI Optional,2013,74000.0,CNG & HYBRIDS,MANUAL,1st,Delhi," 3,75,000"
Ford,Ecosport,1.5 TDCi Trend,2016,56000.0,DIESEL,MANUAL,1st,Delhi," 4,50,000"
Hyundai,I10,Sportz,2009,26000.0,PETROL,MANUAL,1st,Karnataka," 2,70,000"
Mahindra,Tuv,T8 AMT (Automatic),2015,43000.0,DIESEL,AUTOMATIC,1st,Delhi," 5,45,000"
Hyundai,Creta,1.6 SX Plus,2016,33000.0,PETROL,MANUAL,1st,Maharashtra," 10,50,000"
Audi,Q7,4.2 TDI quattro,May 2012,"75,000",Diesel,Automatic,Second,Noida,16.75
Honda,City,2008-2011 1.5 S MT,2009,61000.0,PETROL,MANUAL,1st,Delhi," 2,29,000"
Renault,Kwid,RXT,2018,34747.0,PETROL,MANUAL,2nd,Kerala," 3,35,000"
Honda,Amaze,1.2 SMT I VTEC,2015,58000.0,PETROL,MANUAL,1st,Delhi," 3,75,000"
Maruti,Suzuki,ZXi,2008,74000.0,PETROL,MANUAL,2nd,Tamil," 2,15,000"
Honda,City,VTEC,2009,55300.0,PETROL,MANUAL,1st,Tamil," 4,00,000"
Tata,Indica,V2 LS,2016,"57,000",DIESEL,MANUAL,2nd,Tamil," 2,00,000"
Renault,Duster,85PS Diesel RxL,2015,39000.0,DIESEL,MANUAL,1st,Delhi," 5,75,000"
Maruti,Suzuki,Std,2003,"10,220",PETROL,MANUAL,2nd,Rajasthan," 70,000"
Hyundai,Grand i10,Sportz U2 1.2 CRDi,Jun 2017,"61,000",Diesel,Manual,First,Noida,4.7
Maruti,Suzuki,,2008,64000.0,PETROL,--,2nd,Tamil," 1,45,000"
Maruti,Suzuki,7 Seater Standard,2020,25182.0,CNG & HYBRIDS,MANUAL,1st,Maharashtra," 5,75,000"
