Brand,Model,Variant,Year of Manufacture,Driven Kilometers,Fuel type,Transmission Type,Number of Owners,Location,Price in Lakhs
Maruti,Suzuki,2004-2010 VXI BSIII,2008,"48,450",PETROL,MANUAL,3rd,Maharashtra," 1,20,000"
Maruti,Suzuki,ZXI,2017,20000,PETROL,MANUAL,First,Kerala," 6,50,000"
Mitsubishi,Pajero,2002-2012 2.8 SFX BSIII Dual Tone,2012,"138,000",DIESEL,MANUAL,1st,Kerala," 9,00,000"
Skoda,Laura,Laura 2.0 TDI AT L and K,2011,70000,DIESEL,MANUAL,First,Delhi," 4,00,000"
Mercedes-Benz,C-Class,220 BlueEfficiency,Jun 2012,"54,000",Diesel,Automatic,Second,Noida,13
Audi,A4,30 TFSI Premium Plus,2017,97000.0,PETROL,AUTOMATIC,1st,Delhi," 21,75,000"
Kia,Seltos,GTK,2020,15000.0,PETROL,MANUAL,1st,Kerala," 15,50,000"
Mercedes-Benz,Cla,200 CDI Style,2015,79000.0,DIESEL,AUTOMATIC,1st,Kerala," 22,50,000"
Mahindra,Jeep,Commander 650 DI,2022,"25,000",DIESEL,AUTOMATIC,1st,Tamil," 30,000"
Hyundai,I20,1.4 Sportz,2013,64000.0,DIESEL,MANUAL,1st,Delhi," 2,90,000"
Honda,Accord,2.4 Manual,2008,69000.0,CNG & HYBRIDS,MANUAL,2nd,Delhi," 1,45,000"
Mahindra,Bolero,ZLX,2014,"190,000",DIESEL,MANUAL,4th,Karnataka," 4,90,000"
Hyundai,Elite,Sportz 1.2,2017,34000.0,PETROL,MANUAL,1st,Maharashtra," 5,85,000"
Toyota,Innova,2.5 G BS IV 7 STR,Jun 2015,"25,611",Diesel,Manual,First,Noida,9.5
Chevrolet,Beat,2010-2013 Diesel LS,2013,69000.0,DIESEL,MANUAL,1st,Delhi," 1,50,000"
Mercedes,Benz,,2016,56000.0,DIESEL,AUTOMATIC,1st,Delhi," 22,50,000"
Mercedes-Benz,E-Class,E 220 d,2018,14000.0,DIESEL,AUTOMATIC,1st,Rajasthan," 54,50,000"
Honda,City,VTEC,2010,76890.0,PETROL,MANUAL,2nd,Karnataka," 2,99,000"
Hyundai,Grand,Others,2017,"20,087",PETROL,AUTOMATIC,2nd,Karnataka," 6,25,000"
Tata,Others,,2019,"60,000",DIESEL,MANUAL,1st,Maharashtra," 5,00,000"
Maruti,Suzuki,,2014,96000.0,DIESEL,--,1st,Tamil," 4,39,000"
Toyota,Qualis,FS F6,2003,"155,000",DIESEL,MANUAL,1st,Tamil," 3,65,000"
Tata,Nano,2009-2011 Lx,2012,33000.0,PETROL,MANUAL,1st,Karnataka," 1,15,000"
Tata,Tiago,1.2 Revotron XE,2018,50000.0,DIESEL,MANUAL,1st,Kerala," 3,95,000"
Maruti,Suzuki,VXI AMT Optional,2019,34000.0,PETROL,AUTOMATIC,1st,Karnataka," 4,50,000"
Kia,Seltos,GTX Plus AT D,2020,18000.0,DIESEL,AUTOMATIC,2nd,Karnataka," 19,25,000"
Mitsubishi,Pajero,2.5 Automatic,2015,30000.0,DIESEL,AUTOMATIC,2nd,Tamil," 14,50,000"
Mahindra,Scorpio,VLX BS III,2010,125000.0,DIESEL,MANUAL,2nd,Maharashtra," 4,11,000"
Honda,Amaze,1.5 SMT I DTEC,2013,102000.0,DIESEL,MANUAL,2nd,Kerala," 3,75,000"
Volkswagen,Polo,1.2 MPI Highline,2016,47850.0,PETROL,MANUAL,1st,Tamil," 6,00,000"
Honda,Amaze,1.2 EMT I VTEC,2019,17992.0,PETROL,MANUAL,1st,Rajasthan," 5,90,000"
Maruti,Suzuki,VDi,2012,120000,DIESEL,MANUAL,First,Rajasthan," 1,49,999"
Mahindra,Bolero,DI BSII,2016,"88,525",DIESEL,MANUAL,2nd,Rajasthan," 4,75,000"
Maruti,Suzuki,VDI,2017,"75,000",DIESEL,MANUAL,2nd,Rajasthan," 5,65,000"
Maruti,Suzuki,VDI,2015,67000.0,DIESEL,MANUAL,1st,Rajasthan," 5,50,000"
Mercedes-Benz,Gls,350d 4MATIC,2019,18000.0,DIESEL,AUTOMATIC,1st,Tamil," 82,00,000"
Maruti,Suzuki,VDI,2012,86000.0,DIESEL,MANUAL,2nd,Karnataka," 5,75,000"
Maruti,Suzuki,LXi BS-IV,2010,87000.0,PETROL,MANUAL,1st,Maharashtra," 1,65,000"
Maruti,Suzuki,,2009,97000.0,PETROL,MANUAL,1st,Kerala," 1,75,000"
Honda,City,VTEC Plus,2020,13200.0,PETROL,MANUAL,1st,Maharashtra," 13,50,000"
Skoda,Octavia,2.0 TDI MT Ambition,2014,135000.0,DIESEL,MANUAL,2nd,Rajasthan," 7,50,000"
Volkswagen,Jetta,2.0L TDI Highline AT,2008,89000.0,DIESEL,AUTOMATIC,1st,Kerala," 4,00,000"
Volkswagen,Polo,2013-2015 1.2 MPI Trendline,2014,74000.0,PETROL,MANUAL,1st,Karnataka," 4,45,000"
Toyota,Innova,2.5 EV Diesel PS 8 Seater BSIII,2009,"244,000",DIESEL,MANUAL,3rd,Kerala," 5,90,000"
Fiat,Linea,Others,2009,55920.0,PETROL,MANUAL,3rd,Delhi," 1,50,000"
Maruti,Suzuki,AC BSIII,2006,"48,000",PETROL,MANUAL,--,Kerala," 80,000"
Volkswagen,Polo,2009-2013 Diesel Trendline 1.2L,2011,106511,DIESEL,MANUAL,First,Tamil," 3,85,000"
Maruti,Suzuki,ZDI,2016,"41,000",DIESEL,MANUAL,2nd,Kerala," 5,55,000"
Tata,Bolt,Quadrajet XE,2018,71000.0,DIESEL,MANUAL,1st,Karnataka," 2,70,000"
Mahindra,Renault,1.5 DLE Diesel,2008,241393.0,DIESEL,MANUAL,1st,Kerala," 99,000"
Hyundai,I20,2012-2014 Magna,2012,63600.0,DIESEL,MANUAL,1st,Karnataka," 4,30,000"
Mahindra,Xuv500,W8,2013,88000.0,DIESEL,MANUAL,1st,Rajasthan," 6,40,000"
Honda,Civic,,2007,62000.0,PETROL,--,--,Delhi," 1,60,000"
Tata,Nano,2009-2011 Cx,2011,40542.0,PETROL,MANUAL,1st,Rajasthan," 65,000"
Audi,Q5,35 TDI Technology,Jun 2018,"43,456",Diesel,Automatic,First,Noida,49
Maruti,Suzuki,Vdi BSIV,2017,75600.0,DIESEL,MANUAL,1st,Maharashtra," 7,50,000"
Maruti,Suzuki,Petrol,2017,"59,000",PETROL,MANUAL,2nd,Kerala," 6,50,000"
Maruti,Suzuki,LDI,2019,45000.0,DIESEL,MANUAL,1st,Karnataka," 4,90,000"
Maruti,Suzuki,VXI BS IV,2016,200000,CNG,MANUAL,First,Maharashtra," 2,20,000"
Tata,Indigo,XL CR4,2017,2017.0,DIESEL,MANUAL,2nd,Maharashtra," 3,65,000"
Volvo,Xc40,D4 R-Design,2018,55000.0,DIESEL,AUTOMATIC,1st,Delhi," 31,74,000"
Maruti Suzuki,Alto 800,Vxi,Aug 2014,"38,526",Petrol,Manual,Second,Noida,2.81
Maruti,Suzuki,VXI,2015,"88,000",PETROL,MANUAL,3rd,Rajasthan," 4,80,000"
Maruti,Suzuki,VDi,2017,43000.0,DIESEL,MANUAL,--,Kerala," 7,50,000"
Hyundai,Xcent,2016-2017 1.2 Kappa SX CNG,2020,10000.0,CNG & HYBRIDS,MANUAL,1st,Maharashtra," 6,95,000"
Honda,Amaze,S Petrol,2019,28000.0,PETROL,AUTOMATIC,1st,Kerala," 7,75,000"
Honda,City,2011-2013 S,2013,116000.0,PETROL,MANUAL,2nd,Tamil," 4,65,000"
Datsun,Redigo,S,2017,25030.0,--,--,1st,Kerala," 2,50,000"
Mahindra,Jeep,CJ 500 DI,1991,1.0,DIESEL,MANUAL,2nd,Kerala," 1,10,000"
Maruti,Suzuki,VXI AMT,2014,73270.0,PETROL,AUTOMATIC,1st,Tamil," 3,00,000"
Honda,City,i-DTEC SV,2014,118000.0,DIESEL,MANUAL,2nd,Tamil," 5,60,000"
Hyundai,I10,1.2 Kappa SPORTZ,2010,"104,000",PETROL,MANUAL,3rd,Kerala," 1,70,000"
Maruti,Suzuki,2014-2017 ZXI,2015,53963.0,--,--,2nd,Kerala," 4,35,000"
Hyundai,Creta,1.5 CRDI SX,2016,70000.0,DIESEL,MANUAL,1st,Kerala," 9,50,000"
Hyundai,Verna,Fluidic 1.6 CRDi SX Opt,2018,150000.0,DIESEL,MANUAL,1st,Tamil," 8,50,000"
Volkswagen,Polo,GT TDI Sport Edition,2017,54660.0,DIESEL,MANUAL,1st,Karnataka," 8,25,000"
Renault,Kwid,AMT RXL,2018,96000.0,PETROL,AUTOMATIC,1st,Kerala," 3,09,000"
Tata,Sumo,Others,2008,87000.0,DIESEL,MANUAL,2nd,Karnataka," 1,23,000"
Renault,Duster,2012-2015 85PS Diesel RxL Plus,2016,"64,500",DIESEL,MANUAL,1st,Rajasthan," 7,00,000"
Hyundai,Grand,1.2 Kappa Sportz Dual Tone,2014,85461.0,PETROL,AUTOMATIC,1st,Karnataka," 4,60,000"
Mahindra,Bolero,DI BSIII,2007,132088.0,DIESEL,MANUAL,1st,Tamil," 2,90,000"
Hyundai,Accent,Others,2002,"70,000",PETROL,--,2nd,Tamil," 80,000"
Maruti,Suzuki,LX BS IV,2009,81000.0,PETROL,MANUAL,--,Delhi," 1,31,000"
Maruti,Suzuki,LX,1998,11895,PETROL,MANUAL,Third,Karnataka," 85,000"
Bmw,1,2013-2015 118d Sport Plus,2013,74500.0,DIESEL,AUTOMATIC,1st,Maharashtra," 11,75,000"
Honda,Civic,1.8 V MT,2010,56420,PETROL,MANUAL,Second,Karnataka," 4,25,000"
Tata,Nano,Others,2012,69000.0,PETROL,MANUAL,1st,Tamil," 69,000"
Tata,Nano,2012-2015 LX,2012,"78,000",PETROL,MANUAL,4th,Kerala," 68,500"
Nissan,Terrano,XE D,2018,78008,DIESEL,MANUAL,First,Tamil," 5,99,999"
Hyundai,Grand,2013-2016 CRDi Magna,2015,76000.0,DIESEL,MANUAL,1st,Rajasthan," 3,80,000"
Hyundai,Others,,2010,"120,000",DIESEL,MANUAL,3rd,Rajasthan," 1,50,000"
Ford,Ecosport,1.5 TDCi Titanium,2014,64000.0,DIESEL,MANUAL,2nd,Delhi," 4,95,000"
Tata,Hexa,,2018,53000.0,DIESEL,MANUAL,1st,Delhi," 9,95,000"
Bmw,X1,sDrive 20d xLine,2016,42000.0,DIESEL,AUTOMATIC,2nd,Tamil," 25,90,000"
Chevrolet,Beat,LS,2012,42000.0,PETROL,--,2nd,Karnataka," 2,25,000"
Renault,Kwid,RXT,2016,44253.0,PETROL,MANUAL,1st,Kerala," 2,70,000"
Chevrolet,Aveo,Others,2009,10000,PETROL,AUTOMATIC,Second,Rajasthan," 95,000"
Maruti,Suzuki,ZDI BS IV,2015,43000.0,DIESEL,MANUAL,1st,Delhi," 4,80,000"
Maruti,Suzuki,VXI,2021,"1,671",PETROL,MANUAL,1st,Kerala," 4,60,000"
Ashok,Leyland,LX,2015,20000,PETROL,AUTOMATIC,Third,Delhi," 20,000"
Ford,Ikon,1.3 CLXi NXt,2004,"65,000",PETROL,AUTOMATIC,2nd,Tamil," 85,000"
Ford,Ecosport,Titanium 1.5L TDCi,Jan 2018,"16,826",Diesel,Manual,Second,Noida,8.5
Maruti,Suzuki,Delta,2018,36000.0,PETROL,MANUAL,1st,Karnataka," 7,35,000"
Hyundai,Xcent,1.2 CRDi S,2017,140000,DIESEL,MANUAL,First,Maharashtra," 4,60,000"
Mahindra,Thar,LX 4X4 Hardtop,2021,8500.0,DIESEL,MANUAL,1st,Kerala," 16,45,000"
Mahindra,Scorpio,S6 Plus,2011,118000.0,DIESEL,MANUAL,1st,Tamil," 5,85,000"
Mahindra,Tuv,T6 PLUS,2016,97000.0,DIESEL,MANUAL,1st,Karnataka," 6,25,000"
Mg,Hector,1.5 DCT Sharp,2019,5000.0,PETROL,AUTOMATIC,1st,Maharashtra," 17,50,000"
Hyundai,I20,1.4 Asta Dual Tone,2015,"75,000",DIESEL,MANUAL,3rd,Kerala," 4,80,000"
Hyundai,Elite,Sportz 1.2,2018,56700.0,PETROL,MANUAL,1st,Delhi," 6,23,200"
Honda,City,V Automatic (AVN),2010,124000.0,PETROL,AUTOMATIC,1st,Karnataka," 4,40,000"
Maruti,Suzuki,VXI,2019,35496.0,--,--,1st,Kerala," 6,50,000"
Maruti,Suzuki,1.0 VXi,2017,70258.0,PETROL,MANUAL,1st,Rajasthan," 3,85,000"
Fiat,Abarth,1.4 T-Jet,2016,27453.0,PETROL,MANUAL,1st,Karnataka," 7,65,000"
Hyundai,Grand,1.2 Kappa Sportz,2018,44000.0,PETROL,MANUAL,1st,Rajasthan," 4,85,000"
Mahindra,Scorpio,2006-2009 2.6 Turbo 9 Str,2006,"170,000",DIESEL,MANUAL,2nd,Tamil," 1,10,000"
Volkswagen,Polo,2009-2013 Petrol Highline 1.2L,2012,"74,000",PETROL,MANUAL,2nd,Karnataka," 3,57,000"
Mahindra,Willys,,2002,3000.0,DIESEL,MANUAL,2nd,Karnataka," 4,95,000"
Toyota,Innova,2.5 GX 8 STR BS-III,2013,201000.0,DIESEL,MANUAL,2nd,Kerala," 8,95,000"
Volkswagen,Ameo,1.2 MPI Comfortline Plus,2017,60000.0,PETROL,MANUAL,1st,Maharashtra," 4,99,000"
Chevrolet,Cruze,2010-2011 LTZ AT,2011,100365,DIESEL,AUTOMATIC,Third,Karnataka," 3,95,000"
Maruti,Suzuki,LXi,2019,6900.0,PETROL,MANUAL,1st,Delhi," 3,66,000"
Datsun,Go,A Option Petrol,2019,28836.0,PETROL,MANUAL,1st,Kerala," 3,15,000"
Maruti,Suzuki,VDi,2017,64000.0,DIESEL,MANUAL,1st,Karnataka," 8,50,000"
Hyundai,Sonata,2.0L CRDi AT,2007,"132,000",DIESEL,AUTOMATIC,2nd,Rajasthan," 3,25,000"
Mahindra,Kuv,D75 K2,2018,54000.0,PETROL,MANUAL,1st,Tamil," 5,20,000"
Toyota,Corolla,H4 1.8G,2004,"180,000",PETROL,MANUAL,3rd,Karnataka," 90,000"
Toyota,Innova,2.5 EV MS 8 STR,2006,"300,000",DIESEL,MANUAL,4th,Rajasthan," 2,60,000"
Skoda,Superb,2008-2013 Elegance 1.8 TSI AT,2012,70000,PETROL,AUTOMATIC,Second,Maharashtra," 3,90,000"
Toyota,Corolla,2013-2017 D-4D J,2016,87000.0,DIESEL,MANUAL,1st,Maharashtra," 10,49,000"
Maruti,Suzuki,LXI Optional-O,2020,16000.0,PETROL,MANUAL,1st,Delhi," 5,85,000"
Maruti,Suzuki,VXI,2013,40000.0,PETROL,MANUAL,1st,Maharashtra," 4,59,000"
Maruti,Suzuki,AC,2008,64000.0,PETROL,MANUAL,1st,Kerala," 75,000"
Maruti,Suzuki,AC BSII,2004,28836,PETROL/LIQUIFIED PETROLEUM GAS,MANUAL,Third,Tamil," 95,000"
Toyota,Innova,2009-2011 2.5 GX 7 STR,2010,148000.0,DIESEL,MANUAL,1st,Karnataka," 7,49,999"
Toyota,Camry,2002-2011 W2 (AT),2011,69000.0,PETROL,AUTOMATIC,3rd,Karnataka," 4,45,000"
Fiat,Punto,1.3 Emotion,2010,85000.0,DIESEL,MANUAL,1st,Karnataka," 2,35,000"
Mercedes-Benz,New,Prime C 220d,2020,"26,000",DIESEL,AUTOMATIC,1st,Delhi," 41,75,000"
Toyota,Fortuner,4x2 AT,Jun 2012,"82,000",Diesel,Automatic,First,Noida,11.5
Hyundai,I10,2007-2010 Sportz 1.2 AT,2010,75000.0,PETROL,AUTOMATIC,2nd,Karnataka," 3,25,000"
Ford,Ikon,1.6 CLXI,2008,85000.0,PETROL,MANUAL,2nd,Tamil," 99,000"
Daewoo,Matiz,SG,2001,"87,000",PETROL,MANUAL,2nd,Tamil," 60,000"
Hyundai,Creta,1.6 SX,2019,23000.0,PETROL,MANUAL,2nd,Karnataka," 13,50,000"
Maruti Suzuki,Celerio,VXi AMT,Jun 2014,"51,000",Petrol,Automatic,First,Noida,3.75
Tata,Indigo,XL TDI,2013,"140,000",DIESEL,AUTOMATIC,2nd,Rajasthan," 1,45,000"
Hyundai,Eon,Magna Optional,2011,71231,PETROL,MANUAL,First,Tamil," 2,45,000"
Toyota,Innova,2.5 GX (Diesel) 7 Seater BS IV,2013,151000.0,DIESEL,MANUAL,1st,Karnataka," 10,00,000"
Mg,Hector,Hybrid Sharp MT,2021,12500.0,PETROL,MANUAL,1st,Delhi," 18,30,000"
Datsun,Go,T,2017,28000.0,PETROL,MANUAL,1st,Karnataka," 3,00,000"
Hyundai,Xcent,1.2 CRDi E,2017,120000,DIESEL,MANUAL,First,Rajasthan," 4,12,000"
Honda,Amaze,1.2 EX i-VTEC,Jun 2014,"74,500",Petrol,Manual,First,Noida,3.6
Hyundai,Xcent,1.2 CRDi E,2017,104000.0,DIESEL,MANUAL,1st,Tamil," 3,90,000"
Chevrolet,Beat,2010-2013 Diesel,2012,25,DIESEL,MANUAL,2nd,Rajasthan," 1,45,000"
Datsun,Go,2018,2018,42000.0,PETROL,MANUAL,2nd,Tamil," 3,45,000"
Hyundai,Santro,GL Plus,2007,70000,PETROL,MANUAL,Third,Delhi," 1,20,000"
Maruti,Suzuki,8 Seater BSIV,2011,62000.0,PETROL,MANUAL,2nd,Tamil," 2,20,000"
Hyundai,Santro,GLS,2008,70000.0,PETROL,MANUAL,2nd,Kerala," 1,40,000"
Tata,Others,,2008,"150,000",DIESEL,--,4+,Karnataka," 95,000"
Volkswagen,Polo,1.5 TDI Comfortline,2015,45197,DIESEL,MANUAL,Third,Tamil," 4,50,000"
Honda,Brio,VX AT,Jan 2015,"25,253",Petrol,Automatic,Second,Noida,4.83
Mercedes-Benz,V-Class,Exclusive,2019,23000.0,DIESEL,AUTOMATIC,2nd,Kerala," 76,00,000"
Bajaj,Re60,() New,2020,"32,000",LPG,MANUAL,2nd,Tamil," 1,00,000"
Maruti Suzuki,Swift DZire,VDI,Jan 2013,"69,373",Diesel,Manual,First,Noida,4
Maruti,Suzuki,2012-2015 ZDI,2014,90000,DIESEL,MANUAL,First,Rajasthan," 5,75,000"
Audi,A4,2014-2016 1.8 TFSI,2012,68660,PETROL,AUTOMATIC,Third,Karnataka," 10,00,000"
Chevrolet,Spark,1.0 LS,2009,48000.0,PETROL,MANUAL,1st,Karnataka," 1,65,000"
Mahindra,Xuv300,W8 Option Diesel,2019,42133.0,DIESEL,MANUAL,1st,Maharashtra," 11,75,000"
Hyundai,Santro,,2004,92000.0,PETROL,MANUAL,2nd,Tamil," 1,28,000"
Mercedes-Benz,M-Class,ML 320 CDI,2014,97000.0,DIESEL,--,1st,Maharashtra," 24,00,000"
Nissan,Micra,XE Petrol,2013,60000.0,PETROL,MANUAL,2nd,Karnataka," 3,44,999"
Land,Rover,TD4 SE 7S,2018,48000.0,DIESEL,AUTOMATIC,1st,Delhi," 36,75,000"
Ford,Figo,2012-2015 Diesel EXI,2013,86000.0,DIESEL,MANUAL,1st,Karnataka," 3,25,000"
Ford,Fiesta,,2012,70000.0,DIESEL,MANUAL,1st,Maharashtra," 2,89,000"
Mahindra,Xuv500,W8,2012,45000.0,DIESEL,MANUAL,1st,Delhi," 4,50,000"
Hyundai,Santa,2WD MT,2011,154257.0,DIESEL,MANUAL,1st,Rajasthan," 6,50,000"
Maruti,Suzuki,ZXI AMT,2015,55000.0,PETROL,AUTOMATIC,1st,Karnataka," 4,55,000"
Toyota,Fortuner,3.0 4x4 Manual,2010,126000.0,DIESEL,MANUAL,1st,Maharashtra," 9,50,000"
Mahindra,Scorpio,2002-2013 Sle,2013,140000.0,DIESEL,MANUAL,3rd,Tamil," 6,50,000"
Maruti,Suzuki,LXI,2013,17000.0,PETROL,MANUAL,1st,Kerala," 2,40,000"
Hyundai,Verna,2016-2017 1.6 VTVT AT SX,2013,46000.0,PETROL,AUTOMATIC,2nd,Karnataka," 5,75,000"
Maruti,Suzuki,VXI,2006,120000.0,PETROL,MANUAL,2nd,Maharashtra," 1,25,000"
Honda,City,2014-2015 i DTEC SV,2014,66000.0,DIESEL,MANUAL,2nd,Karnataka," 6,35,000"
Hyundai,I10,1.2 Kappa Magna,2011,"50,000",PETROL,MANUAL,1st,Rajasthan," 2,15,000"
Maruti,Suzuki,VXI AMT,2014,54990.0,--,--,2nd,Kerala," 3,90,000"
Maruti,Suzuki,VDi,2010,90000,DIESEL,MANUAL,Second,Rajasthan," 1,70,000"
Mini,Cooper,2013-2015 D High,2013,70000,DIESEL,AUTOMATIC,Third,Maharashtra," 11,75,000"
Mahindra,Bolero,Power Plus SLX [2016-2019],Jun 2016,"92,000",Diesel,Manual,First,Noida,5.5
Maruti,Suzuki,2004-2010 VDI BSIV,2008,87000.0,DIESEL,MANUAL,4+,Karnataka," 1,79,000"
Maruti,Suzuki,LXi,2007,58200.0,--,--,2nd,Kerala," 1,45,000"
Hyundai,Santro,GL Plus,2014,75000.0,PETROL,MANUAL,1st,Kerala," 2,50,000"
Mercedes-Benz,Gl-Class,Grand Edition Executive,2012,73000.0,DIESEL,AUTOMATIC,1st,Tamil," 42,00,000"
Hyundai,Santro,GL,2009,85000.0,PETROL,MANUAL,1st,Delhi," 1,45,000"
Honda,Civic,1.8 V MT,2009,69000.0,PETROL,MANUAL,2nd,Maharashtra," 2,90,000"
Mahindra,Marazzo,M2 8Str,2019,80000.0,DIESEL,MANUAL,1st,Karnataka," 6,80,000"
Maruti Suzuki,Ciaz,Delta 1.3 Hybrid,Jun 2018,"1,00,000",Diesel,Manual,First,Noida,7.2
Mahindra,Scorpio,2009-2014 VLX 2WD AIRBAG AT BSIV,2012,62000.0,DIESEL,MANUAL,2nd,Delhi," 4,35,000"
Maruti Suzuki,Baleno,Sigma,Dec 2019,"15,887",Petrol,Manual,First,Noida,5.65
Nissan,Micra,2010-2012 XE,2011,76142.0,PETROL,MANUAL,1st,Delhi," 1,95,000"
Honda,City,GXi,2008,65000.0,PETROL,MANUAL,2nd,Delhi," 1,50,000"
Hyundai,Verna,2011-2014 1.6 SX VTVT,2013,72000.0,PETROL,MANUAL,1st,Delhi," 4,09,994"
Volkswagen,Polo,2009-2013 Petrol Highline 1.6L,2011,50412,PETROL,MANUAL,Second,Tamil," 3,75,000"
Honda,Civic,1.8 S MT,2008,59000.0,PETROL,MANUAL,1st,Delhi," 1,55,000"
Maruti,Suzuki,LXI Option,2016,70000,CNG,MANUAL,First,Delhi," 4,00,000"
Renault,Kwid,RXT,2017,42600.0,PETROL,MANUAL,1st,Maharashtra," 3,20,000"
Nissan,Sunny,Special Edition XV petrol,Jun 2012,"86,000",Petrol,Manual,Second,Noida,2.7
Maruti,Suzuki,ZDI,2014,99000.0,DIESEL,MANUAL,1st,Rajasthan," 5,21,000"
Hyundai,I10,Sportz AT,2008,120000,PETROL,AUTOMATIC,Second,Delhi," 1,25,000"
Volkswagen,Jetta,2.0L TDI Comfortline,2014,111804,DIESEL,MANUAL,Third,Karnataka," 8,25,000"
Maruti,Suzuki,2004-2010 Vdi BSIII,2007,"103,021",DIESEL,MANUAL,3rd,Tamil," 2,15,000"
Fiat,Premier,Std,1990,"50,000",PETROL,MANUAL,1st,Rajasthan," 3,00,000"
Audi,A4,2.0 TDI,2013,"76,000",DIESEL,AUTOMATIC,1st,Rajasthan," 7,00,000"
Hyundai,Santro,GLS,2008,"99,000",PETROL,MANUAL,2nd,Kerala," 1,50,000"
Maruti,Suzuki,LX,2008,28042.0,--,--,1st,Kerala," 1,35,000"
Hyundai,Santro,GLS,2007,76000.0,PETROL,MANUAL,2nd,Kerala," 1,20,000"
Maruti,Suzuki,VDI,2009,92000.0,DIESEL,MANUAL,2nd,Rajasthan," 2,85,000"
Maruti,Suzuki,2012-2015 VDI,2013,113500.0,DIESEL,MANUAL,2nd,Karnataka," 6,00,000"
Audi,Q7,3.0 TDI quattro,2015,71000.0,DIESEL,AUTOMATIC,--,Delhi," 24,49,000"
Chevrolet,Cruze,2012 LTZ AT,2012,65000.0,DIESEL,AUTOMATIC,--,Maharashtra," 3,95,000"
Maruti,Suzuki,VDI,2020,26000.0,DIESEL,MANUAL,1st,Karnataka," 6,90,000"
Tata,Indica,1.4 GLS BSIII,2008,98000.0,LPG,MANUAL,2nd,Karnataka," 1,39,999"
Maruti,Suzuki,,2010,55236.0,PETROL,--,--,Delhi," 1,20,000"
MINI,Cooper S,1.6 High,Jun 2015,"20,000",Petrol,Automatic,First,Noida,25
Ford,Fiesta,1.4 Duratorq LXI,2013,92188.0,DIESEL,MANUAL,2nd,Tamil," 2,75,000"
Kia,Seltos,GTX Plus AT D,2020,17000.0,DIESEL,AUTOMATIC,1st,Delhi," 18,75,000"
Maruti,Suzuki,EX BSII,2012,68000.0,PETROL,MANUAL,1st,Rajasthan," 1,05,000"
Toyota,Innova,2.4 G MT,2016,41500.0,DIESEL,MANUAL,1st,Karnataka," 16,45,000"
Honda,City,2014-2015 i DTEC SV,2015,85000.0,DIESEL,MANUAL,1st,Tamil," 6,50,000"
Hyundai,Santro,XG,2006,57000.0,PETROL,MANUAL,1st,Maharashtra," 1,10,000"
Hyundai,Getz,GVS,2006,55800.0,PETROL,MANUAL,2nd,Karnataka," 1,99,000"
Maruti,Suzuki,,2008,64000.0,PETROL,--,2nd,Tamil," 1,45,000"
Hyundai,Santro,XL eRLX Euro III,2007,"86,000",PETROL,MANUAL,1st,Delhi," 60,000"
Maruti,Suzuki,LDI,2014,88000.0,DIESEL,MANUAL,1st,Rajasthan," 3,65,000"
Maruti,Suzuki,VXI,2015,59000.0,PETROL,MANUAL,2nd,Karnataka," 4,10,000"
Maruti,Suzuki,1.3 Zeta,2017,68000.0,DIESEL,MANUAL,1st,Rajasthan," 6,48,000"
Hyundai,Elantra,2006-2009 CRDi (Leather Option),2006,"950,000",PETROL,MANUAL,2nd,Tamil," 2,00,000"
Mahindra,Supro,Others,2021,"16,000",DIESEL,MANUAL,1st,Maharashtra," 1,50,000"
Ford,Fiesta,S 1.6,2007,"93,000",DIESEL,MANUAL,2nd,Karnataka," 1,90,000"
Maruti,Suzuki,VXi,2010,61000.0,PETROL,MANUAL,1st,Tamil," 2,48,000"
Maruti,Suzuki,VXi,2011,"78,000",CNG & HYBRIDS,MANUAL,3rd,Maharashtra," 2,78,000"
Tata,Sumo,GX BS-IV,2012,100000.0,DIESEL,MANUAL,1st,Tamil," 3,35,000"
Bmw,X5,xDrive 30d,2015,84000.0,DIESEL,AUTOMATIC,2nd,Karnataka," 26,40,000"
Volkswagen,Vento,1.6 Highline Plus 16 Alloy,2014,"127,000",DIESEL,MANUAL,1st,Tamil," 4,95,000"
Chevrolet,Tavera,LS B3 - 10 seats BSII,2014,--,DIESEL,MANUAL,2nd,Karnataka," 5,20,000"
Maruti Suzuki,Ertiga,ZDi,May 2014,"94,820",Diesel,Manual,Second,Noida,5.27
Maruti,Suzuki,1.0 VXi,2017,58500.0,PETROL,MANUAL,1st,Tamil," 4,75,000"
Maruti,Suzuki,LXI MT,2017,"65,000",PETROL,MANUAL,1st,Rajasthan," 3,20,000"
Maruti,Suzuki,1.0 VXi,2015,64753.0,PETROL,MANUAL,1st,Rajasthan," 3,20,000"
Mahindra,Xuv500,W6 2WD,2014,"110,000",DIESEL,MANUAL,1st,Rajasthan," 7,50,000"
Porsche,718,Boxster,Jun 2020,"15,000",Petrol,Automatic,First,Noida,95
Renault,Pulse,RxL Diesel,2012,"108,000",DIESEL,MANUAL,2nd,Rajasthan," 2,70,000"
Maruti,Suzuki,ZXI 1.2,2020,6700.0,PETROL,MANUAL,1st,Karnataka," 6,05,000"
Hyundai,Santro,GLS II - Euro II,2007,71000.0,PETROL,MANUAL,1st,Rajasthan," 1,20,000"
Hyundai,Elite,Magna 1.4 CRDI,2018,41000.0,DIESEL,MANUAL,1st,Delhi," 6,40,000"
